OBJECTID,pointid,grid_code,X,Y
116,971847,0.261398166,-73.90150382,40.91129931
117,971848,0.045177083,-73.90096109,40.91129931
118,971849,0.176699057,-73.90041837,40.91129931
119,971850,0.220379129,-73.89987564,40.91129931
120,971851,0.174258873,-73.89933292,40.91129931
121,971852,0.434684664,-73.89879019,40.91129931
122,971853,0.127944022,-73.89824747,40.91129931
123,971854,0.244897977,-73.89770475,40.91129931
124,971855,0.264957279,-73.89716202,40.91129931
125,971856,0.06800618,-73.8966193,40.91129931
126,973614,0.056856155,-73.91181558,40.91075658
127,973615,0.562752962,-73.91127286,40.91075658
128,973616,0.613559306,-73.91073013,40.91075658
129,973617,0.105239965,-73.91018741,40.91075658
130,973618,0.051529821,-73.90964468,40.91075658
131,973619,-0.020667721,-73.90910196,40.91075658
132,973620,0.470391095,-73.90855923,40.91075658
133,973621,0.341371536,-73.90801651,40.91075658
134,973622,0.34117648,-73.90747378,40.91075658
135,973623,0.775510192,-73.90693106,40.91075658
136,973624,0.432558149,-73.90638834,40.91075658
137,973625,0.308910936,-73.90584561,40.91075658
138,973626,0.210526332,-73.90530289,40.91075658
139,973627,0.261455566,-73.90476016,40.91075658
140,973628,0.328244269,-73.90421744,40.91075658
141,973629,0.075630225,-73.90367471,40.91075658
142,973630,0.38014856,-73.90313199,40.91075658
143,973631,0.155313343,-73.90258927,40.91075658
144,973632,0.155434787,-73.90204654,40.91075658
145,973633,0.2402464,-73.90150382,40.91075658
146,973634,0.067676783,-73.90096109,40.91075658
147,973635,0.213454083,-73.90041837,40.91075658
148,973636,0.087509356,-73.89987564,40.91075658
149,973637,0.140039429,-73.89933292,40.91075658
150,973638,0.098743245,-73.89879019,40.91075658
151,973639,0.193343893,-73.89824747,40.91075658
152,973640,0.268357784,-73.89770475,40.91075658
153,973641,0.207547173,-73.89716202,40.91075658
154,973642,-0.011764697,-73.8966193,40.91075658
155,973643,0.342150658,-73.89607657,40.91075658
156,973644,0.404564291,-73.89553385,40.91075658
157,973645,0.047264382,-73.89499112,40.91075658
158,973646,-0.004222398,-73.8944484,40.91075658
159,975401,0.063139915,-73.91181558,40.91021386
160,975402,0.690892339,-73.91127286,40.91021386
161,975403,0.578300953,-73.91073013,40.91021386
162,975404,0.231535241,-73.91018741,40.91021386
163,975405,0.215909123,-73.90964468,40.91021386
164,975406,0.004501636,-73.90910196,40.91021386
165,975407,0.117487825,-73.90855923,40.91021386
166,975408,0.123201981,-73.90801651,40.91021386
167,975409,0.294484884,-73.90747378,40.91021386
168,975410,0.596658707,-73.90693106,40.91021386
169,975411,0.71216619,-73.90638834,40.91021386
170,975412,0.443762809,-73.90584561,40.91021386
171,975413,0.291139215,-73.90530289,40.91021386
172,975414,0.360565603,-73.90476016,40.91021386
173,975415,0.304521292,-73.90421744,40.91021386
174,975416,0.383350432,-73.90367471,40.91021386
175,975417,0.347534984,-73.90313199,40.91021386
176,975418,0.147973582,-73.90258927,40.91021386
177,975419,0.13193813,-73.90204654,40.91021386
178,975420,0.16762343,-73.90150382,40.91021386
179,975421,0.107772671,-73.90096109,40.91021386
180,975422,0.116708651,-73.90041837,40.91021386
181,975423,0.292565942,-73.89987564,40.91021386
182,975424,0.128773898,-73.89933292,40.91021386
183,975425,0.249001309,-73.89879019,40.91021386
184,975426,0.016650332,-73.89824747,40.91021386
185,975427,0.143641368,-73.89770475,40.91021386
186,975428,0.161357671,-73.89716202,40.91021386
187,975429,0.016004132,-73.8966193,40.91021386
188,975430,0.278208405,-73.89607657,40.91021386
189,975431,0.350541204,-73.89553385,40.91021386
190,975432,0.817518294,-73.89499112,40.91021386
191,975433,0.490196049,-73.8944484,40.91021386
192,975434,0.350081027,-73.89390567,40.91021386
193,975435,0.076374032,-73.89336295,40.91021386
194,975436,-0.040712461,-73.89282023,40.91021386
195,975508,0.426597595,-73.85265862,40.91021386
196,975510,0.042253524,-73.85157317,40.91021386
197,977188,-0.031161472,-73.91181558,40.90967113
198,977189,0.831516325,-73.91127286,40.90967113
199,977190,0.481627226,-73.91073013,40.90967113
200,977191,0.374798089,-73.91018741,40.90967113
201,977192,-0.009987499,-73.90964468,40.90967113
202,977193,0.121845707,-73.90910196,40.90967113
203,977194,0.081081055,-73.90855923,40.90967113
204,977195,-0.021505371,-73.90801651,40.90967113
205,977196,0.777777791,-73.90747378,40.90967113
206,977197,0.50289017,-73.90693106,40.90967113
207,977198,0.389423043,-73.90638834,40.90967113
208,977199,0.314172417,-73.90530289,40.90967113
209,977200,0.431952655,-73.90476016,40.90967113
210,977201,0.298869133,-73.90421744,40.90967113
211,977202,0.378881991,-73.90367471,40.90967113
212,977203,0.320284694,-73.90313199,40.90967113
213,977204,0.141654968,-73.90258927,40.90967113
214,977205,0.216091976,-73.90204654,40.90967113
215,977206,0.080256037,-73.90150382,40.90967113
216,977207,0.109362707,-73.90096109,40.90967113
217,977208,0.15303643,-73.90041837,40.90967113
218,977209,0.248759747,-73.89987564,40.90967113
219,977210,0.051803902,-73.89933292,40.90967113
220,977211,0.156505331,-73.89879019,40.90967113
221,977212,0.258477777,-73.89824747,40.90967113
222,977213,0.05955334,-73.89770475,40.90967113
223,977214,0.109052017,-73.89716202,40.90967113
224,977215,-0.040285196,-73.8966193,40.90967113
225,977216,0.426253676,-73.89607657,40.90967113
226,977217,0.478935719,-73.89553385,40.90967113
227,977218,0.394879729,-73.89499112,40.90967113
228,977219,0.430488974,-73.8944484,40.90967113
229,977220,0.535353482,-73.89390567,40.90967113
230,977221,0.536290288,-73.89336295,40.90967113
231,977222,0.386687815,-73.89282023,40.90967113
232,977223,0.506198287,-73.8922775,40.90967113
233,977224,0.712401092,-73.89173478,40.90967113
234,977225,0.151044801,-73.89119205,40.90967113
235,977293,0.773809552,-73.85320135,40.90967113
